"Check ID","Title","Severity","Repository","SCM Link","File Path","Lines","First Seen","Repository Status","Package","Installed Version","Fixed Version","Vendor Fix","Reachability","Direct","Package Roots","EPSS Score","CISA Published Date"
"CVE-2024-45590","body-parser: Denial of Service Vulnerability in body-parser","HIGH","dev-pr-try","","package.json","13","2025-01-07T15:57:44.934Z","Active","body-parser","1.20.0","1.20.3","Yes","No","No","express@4.18.1","N/A","N/A"
"CVE-2024-47764","cookie: cookie accepts cookie name, path, and domain with out of bounds characters","LOW","dev-pr-try","","package.json","13","2025-01-07T15:57:44.934Z","Active","cookie","0.5.0","0.7.0","Yes","No","No","express@4.18.1","N/A","N/A"
"CVE-2024-29041","express: cause malformed URLs to be evaluated","MEDIUM","dev-pr-try","","package.json","13","2025-01-07T15:57:44.934Z","Active","express","4.18.1","4.19.2, 5.0.0-beta.3","Yes","No","Yes","-","N/A","N/A"
"CVE-2024-43796","express: Improper Input Handling in Express Redirects","LOW","dev-pr-try","","package.json","13","2025-01-07T15:57:44.934Z","Active","express","4.18.1","4.20.0, 5.0.0","Yes","No","Yes","-","N/A","N/A"
"CVE-2024-45296","path-to-regexp: Backtracking regular expressions cause ReDoS","HIGH","dev-pr-try","","package.json","13","2025-01-07T15:57:44.934Z","Active","path-to-regexp","0.1.7","1.9.0, 0.1.10, 8.0.0, 3.3.0, 6.3.0","Yes","No","No","express@4.18.1","N/A","N/A"
"CVE-2024-52798","path-to-regexp: path-to-regexp Unpatched `path-to-regexp` ReDoS in 0.1.x","MEDIUM","dev-pr-try","","package.json","13","2025-01-07T15:57:44.934Z","Active","path-to-regexp","0.1.7","0.1.12","Yes","No","No","express@4.18.1","N/A","N/A"
"CVE-2024-43799","send: Code Execution Vulnerability in Send Library","LOW","dev-pr-try","","package.json","13","2025-01-07T15:57:44.934Z","Active","send","0.18.0","0.19.0","Yes","No","No","express@4.18.1","N/A","N/A"
"CVE-2024-43800","serve-static: Improper Sanitization in serve-static","LOW","dev-pr-try","","package.json","13","2025-01-07T15:57:44.934Z","Active","serve-static","1.15.0","1.16.0, 2.1.0","Yes","No","No","express@4.18.1","N/A","N/A"
"CVE-2019-10747","nodejs-set-value: prototype pollution in function set-value","CRITICAL","NodeGoat","https://github.com/test-org-example/NodeGoat/blob/995a1ce1c99be4ac2647254085a90416b92e7c3d/package.json#L15-L15","package.json","15","2025-02-02T13:18:45.303Z","Active","set-value","2.0.0","2.0.1, 3.0.1","Yes","No","No","forever@2.0.0","N/A","N/A"
"CVE-2021-44906","minimist: prototype pollution","CRITICAL","NodeGoat","https://github.com/test-org-example/NodeGoat/blob/995a1ce1c99be4ac2647254085a90416b92e7c3d/package.json#L15-L15","package.json","15","2025-02-02T13:18:45.303Z","Active","minimist","0.0.10","1.2.6, 0.2.4","Yes","No","No","forever@2.0.0,swig@1.4.2","N/A","N/A"
